Combination,Propellant Mass [kg],Inert Mass [kg],Total Mass [kg] (including payload),First Stage Burn Time [sec],Second Stage Burn Time [sec],Maximum Dynamic Pressure (Max Q) [kPa],Delta V [km/s],Payload Mass (kg),Alt [km],Diameter 1,Diameter 2,(L/D),Name of Tester,Evaluation Function,time factor,payload factor,Altitude Factor,total mass factor,Dynamic Pressure Factor,L/D Factor,Normalized Data by max value,time factor,payload factor,Altitude Factor,total mass factor,Dynamic Pressure Factor,L/D factor,Weights,time factor,payload factor,Altitude Factor,total mass factor,Dynamic Pressure Factor,L/D Factor,Value,Cost,,,Value,Cost
01040709,25.3469071,5.31840531,31.6653124,7.03189271,4.65502953,962.909762,4.9935,1,100,4,3.5,24.58277566,Rishie,,0.83478016,0.1,0.965530559,0.180258773,1.688831847,0.9572496134,,0.406071789,0.1,0.25,0.4141623863,1,0.9572511218,First Go,bad,good,good,bad,bad,good,0.561,0.647,,,0.455,0.589
01040710,26.4967503,5.55490978,33.0516601,7.37150683,4.83998517,913.046643,5.0257,1,125,4,3.5,25.69795461,Rishie,,0.8722494286,0.1,1.206913199,0.1884360754,1.60137773,0.9418299191,,0.4242983996,0.1,0.3125,0.4329505485,0.9482162078,0.9418314033,,0.2,0.05,0.5,0.4,0.4,0.45,0.585,0.637,,,0.491,0.587
01040711,27.6359886,5.78913918,34.4251278,7.70839528,5.02271861,865.896038,5.0556,1,150,4,3.5,26.80284838,Rishie,,0.9093652779,0.1,1.448295839,0.1965379592,1.518681047,0.9257626145,,0.4423530923,0.1,0.375,0.4515654293,0.8992494127,0.9257640734,,bad sum,good sum,,,,,0.609,0.629,,,0.526,0.585
01040712,29.3440946,6.14017025,36.4842649,8.21419222,5.29583357,794.376382,5.0971,1,200,4,3.5,28.45946022,Rishie,,0.9650018421,0.1,1.931061118,0.208685441,1.39324388,0.9008916208,,0.4694170312,0.1,0.5,0.4794754719,0.8249748973,0.9008930405,,1,1,,,,,0.660,0.616,,,0.600,0.582
01040713,30.9409836,6.46819044,38.4091741,8.68772954,5.55029941,730.169123,5.1327,1,250,4,3.5,30.00820792,,,1.017002068,0.1,2.413826398,0.2200419844,1.280631807,0.8773755156,,0.4947121037,0.1,0.625,0.5055682553,0.7582944444,0.8773768982,,,,,,,,0.712,0.604,,,0.674,0.580
01040714,32.4328961,6.77452607,40.2074222,9.13066455,5.78737967,673.903967,5.1635,1,300,4,3.5,31.45514384,,,1.065574587,0.1,2.896591677,0.2306519699,1.181949261,0.8555471015,,0.5183397972,0.1,0.75,0.529945748,0.6998620157,0.8555484497,,,,,,,,0.765,0.596,,,0.749,0.580
01040715,35.1267053,7.3273867,43.454092,9.93154243,6.21401057,591.660991,5.2139,1,400,4,3.5,34.06774296,,,1.153253786,0.1,3.862122236,0.249809445,1.037704636,0.8171487994,,0.5609906061,0.1,1,0.5739619446,0.6144511296,0.8171500871,,,,,,,,0.873,0.588,,,0.900,0.585
01040809,28.3006671,5.92575817,35.2264252,7.90513547,5.12911894,746.450622,5.0722,1,100,4,4,22.61603391,Rishie,,0.9310181721,0.1,0.965530559,0.2012649317,1.309187665,0.9810167111,,0.4528859607,0.1,0.25,0.4624261166,0.7752030891,0.981018257,,,,,,,,0.571,0.586,,,0.462,0.555
01040810,29.5476074,6.18198217,36.7295896,8.27451619,5.32830542,706.515116,5.1018,1,125,4,4,23.61250668,Harry,,0.971630115,0.1,1.206913199,0.2101327563,1.239145427,0.9696660445,,0.4726412988,0.1,0.3125,0.4828008222,0.7337293108,0.9696675726,,,,,,,,0.598,0.581,,,0.499,0.557
01040811,30.5386592,6.38556134,37.9242205,8.56836431,5.48626536,675.348345,5.124,1,150,4,4,24.40449017,Harry,,1.003902119,0.1,1.448295839,0.2171807871,1.184482532,0.9596123803,,0.4883397439,0.1,0.375,0.4989943711,0.7013620296,0.9596138925,,,,,,,,0.624,0.578,,,0.537,0.559
01040812,32.3426799,6.75600502,40.098685,9.1038539,5.77306204,617.758296,5.1617,1,200,4,4,25.846145,Harry,,1.062636853,0.1,1.931061118,0.2300103823,1.083476277,0.9397123398,,0.5169107611,0.1,0.5,0.5284716369,0.6415536745,0.9397138207,,,,,,,,0.678,0.571,,,0.612,0.561
01040813,34.0662018,7.10977312,42.1759749,9.61608196,6.04626031,572.534974,5.1948,1,250,4,4,27.22347047,,,1.118738734,0.1,2.413826398,0.2422674968,1.004159825,0.9195107272,,0.5442010492,0.1,0.625,0.5566335716,0.5945883992,0.9195121762,,,,,,,,0.731,0.569,,,0.687,0.567
01040814,35.4474439,7.3931927,43.8406366,10.0269956,6.26469851,539.662578,5.2195,1,300,4,4,28.32726842,,,1.163692436,0.1,2.896591677,0.2520904313,0.9465054613,0.902894625,,0.5660683999,0.1,0.75,0.5792027364,0.5604497943,0.9028960478,,,,,,,,0.786,0.569,,,0.763,0.572
01040815,38.3311082,7.98466164,47.3157699,10.8858724,6.71943268,494.367557,5.2665,1,400,4,4,30.63170348,,,1.257521791,0.1,3.862122236,0.2725980927,0.867063257,0.8679370604,,0.6117109006,0.1,1,0.6263211199,0.5134100583,0.8679384281,,,,,,,,0.896,0.578,,,0.915,0.591
01050709,26.0953273,5.47235469,32.567682,7.25290548,4.77547438,952.932856,5.0147,1,100,4.5,3.5,20.85367122,Harry,,0.85916999,0.1,0.965530559,0.1855812885,1.671333513,0.995786322,,0.4179360167,0.1,0.25,0.4263913929,0.9896387944,0.9957878912,,,,,,,,0.578,0.650,,,0.466,0.595
01050710,27.3588799,5.7321733,34.0910532,7.6264225,4.97831939,900.610421,5.0485,1,125,4.5,3.5,21.86341945,Harry,,0.9003387064,0.1,1.206913199,0.1945672543,1.579566041,0.9883145501,,0.4379621926,0.1,0.3125,0.4470375395,0.9353009561,0.9883161075,,,,,,,,0.606,0.641,,,0.505,0.593
01050711,28.3552057,5.93696687,35.2921725,7.92128169,5.13784122,859.279652,5.07353586,1,150,4.5,3.5,22.65961758,Jonathan,,0.9327944936,0.1,1.448295839,0.201652792,1.507076674,0.9805569725,,0.4537500373,0.1,0.375,0.4633172643,0.8923781707,0.9805585177,,,,,,,,0.634,0.633,,,0.543,0.591
01050712,30.3020074,6.33695392,37.6389614,8.49817928,5.44856927,782.212916,5.1188,1,200,4.5,3.5,24.2153736,Jonathan,,0.996196325,0.1,1.931061118,0.2154977982,1.371910573,0.9620816119,,0.484591325,0.1,0.5,0.4951275374,0.8123429078,0.962083128,,,,,,,,0.688,0.620,,,0.619,0.589
01050713,32.0561556,6.69718001,39.7533356,9.01876522,5.72757503,714.049873,5.15593139,1,250,4.5,3.5,25.6171736,,,1.053310018,0.1,2.413826398,0.2279727168,1.252360516,0.9429784277,,0.5123738006,0.1,0.625,0.5237898985,0.7415542984,0.9429799137,,,,,,,,0.742,0.609,,,0.694,0.588
01050714,33.6420992,7.02273467,41.6648339,9.48999763,5.9791008,655.917598,5.1869,1,300,4.5,3.5,26.88455554,,,1.104935602,0.1,2.896591677,0.2392514202,1.150403259,0.924552822,,0.537486632,0.1,0.75,0.5497038368,0.6811828313,0.924554279,,,,,,,,0.796,0.600,,,0.770,0.588
01050715,36.4739045,7.60376501,45.0776696,10.3325716,6.42675754,569.765452,5.2369,1,400,4.5,3.5,29.14754829,,,1.197094939,0.1,3.862122236,0.2593902776,0.9993024048,0.8904455907,,0.5823167662,0.1,1,0.5959748566,0.5917121983,0.8904469939,,,,,,,,0.906,0.592,,,0.922,0.593
01050809,29.1597674,6.10229794,36.2620653,8.15957795,5.26640365,738.906898,5.0928,1,100,4.5,4,19.42750427,Jonathan,,0.9589986857,0.1,0.965530559,0.2073745673,1.295956849,0.9999860751,,0.4664968462,0.1,0.25,0.4764636096,0.767368789,0.999987651,,,,,,,,0.580,0.591,,,0.467,0.563
01050810,30.4336383,6.36399079,37.797629,8.53721618,5.46954221,699.220683,5.1217,1,125,4.5,4,20.27621243,Jonathan,,1.000482742,0.1,1.206913199,0.2164339134,1.226351839,0.9985344943,,0.4866764166,0.1,0.3125,0.4972783548,0.7261539041,0.9985360678,,bad,good,good,bad,bad,good,0.611,0.587,,,0.508,0.565
